window,fase,metodo,n,RMSE,MAE,Bias,corr,MDA,n_dir,SignAcc,RMSE_rel_ar2,RMSE_rel_mean
2007-2019,forecast,lbvar/-,232,2.7048038808323596,2.055299681116925,-0.2466955570312844,0.13688188360876252,0.7155172413793104,232,0.7672413793103449,1.0455455469623978,0.9950870632605665
2007-2019,forecast,nyfed,232,2.7240849847809128,1.8583322746253346,0.4156430028949369,0.04733543037989766,0.6379310344827587,232,0.8491379310344828,1.0529986834048541,1.0021805080905417
2007-2019,forecast,qbvar/-,232,2.606726151711638,1.9832529285236147,0.09561380794029509,0.20711082225335117,0.6336206896551724,232,0.8146551724137931,1.0076334699851945,0.9590046396387952
2007-2019,forecast,ar2,232,2.586978528760006,1.756865071237464,0.393771308642831,0.16662978937148784,0.7413793103448276,232,0.8491379310344828,1.0,0.951739564241436
2007-2019,forecast,mean,232,2.7181580192286137,1.7859563626766979,0.885870844511494,-0.4568102438135468,0.7887931034482759,232,0.8491379310344828,1.0507076069670687,1.0
2007-2019,nowcast M1,bbvar/-,184,2.378895471680615,1.765063090155848,0.6314438612617945,0.39249745845490697,0.717391304347826,184,0.8532608695652174,0.9203422203145413,0.8740283056885519
2007-2019,nowcast M1,cbvar/authors,184,2.443562815329363,1.9080716072436434,0.0977062056444109,0.2899446335800494,0.6630434782608695,184,0.7989130434782609,0.9453605901185269,0.8977876887617242
2007-2019,nowcast M1,diag3/gaussian,184,2.438515644179385,1.6930157138723763,1.0251619742148208,0.4631948499278943,0.7880434782608695,184,0.8913043478260869,0.9434079508547275,0.895933311172944
2007-2019,nowcast M1,diag3/gaussian_ar1,184,2.4165255582446066,1.6954644071894898,0.5835314913789035,0.4756497013570143,0.7554347826086957,184,0.8695652173913043,0.9349004713311215,0.8878539492252154
2007-2019,nowcast M1,diag3/student_t,184,2.4296272823784117,1.6308003488168838,1.0216207988661161,0.47121290723127357,0.842391304347826,184,0.8913043478260869,0.9399692395989161,0.8926676444390612
2007-2019,nowcast M1,diag3/student_t_ar1,184,2.434719804612817,1.7084617344571165,0.6599374913578931,0.4547665969073615,0.7336956521739131,184,0.8695652173913043,0.9419394241976126,0.894538684437752
2007-2019,nowcast M1,diag3/student_t_ar1_shared,184,2.3386913388227133,1.6217786790641937,0.7023078269603561,0.45756212925967416,0.7554347826086957,184,0.8695652173913043,0.9047881275262097,0.8592569336203861
2007-2019,nowcast M1,diag4/gaussian,184,2.0620024996438153,1.4436229101602398,0.6968389853437025,0.6304936054580319,0.842391304347826,184,0.8967391304347826,0.7977433146634324,0.7575988825671314
2007-2019,nowcast M1,diag4/gaussian_ar1,184,2.0519381974862156,1.482302245222335,0.5968929875935354,0.6164764793124385,0.8532608695652174,184,0.8967391304347826,0.7938496580047403,0.7539011644170649
2007-2019,nowcast M1,diag4/student_t,184,2.0788958653011664,1.4427952897515322,0.7653682608771273,0.6481780725763585,0.8315217391304348,184,0.9021739130434783,0.8042789854580336,0.7638056621161464
2007-2019,nowcast M1,diag4/student_t_ar1,184,2.0303766524415305,1.442763118510805,0.6341646840431957,0.6371949717943514,0.842391304347826,184,0.9021739130434783,0.7855079715052412,0.7459792523752046
2007-2019,nowcast M1,diag4/student_t_ar1_shared,184,2.0797107407179904,1.467577413828597,0.764260320788182,0.6390770000601955,0.8206521739130435,184,0.9021739130434783,0.8045942427946116,0.7641050549177186
2007-2019,nowcast M1,fed_overlap/gaussian,184,2.0643255751660226,1.4663381870086967,0.7100018684469545,0.6324032729016988,0.875,184,0.9130434782608695,0.7986420613757275,0.7584524021045942
2007-2019,nowcast M1,fed_overlap/gaussian_ar1,184,2.1032746887049902,1.5003454943456076,0.6822326759354774,0.6043488183190854,0.8315217391304348,184,0.8967391304347826,0.8137106148537885,0.7727626684108666
2007-2019,nowcast M1,fed_overlap/student_t,184,2.0846160432613905,1.4457624746052062,0.7836529979017643,0.6524105090321134,0.8315217391304348,184,0.907608695652174,0.806491996221717,0.765907308661919
2007-2019,nowcast M1,fed_overlap/student_t_ar1,184,2.0359252803674117,1.4330716337279379,0.69064575282264,0.6572070774632652,0.8260869565217391,184,0.8967391304347826,0.7876546133420922,0.748017869843978
2007-2019,nowcast M1,fed_overlap/student_t_ar1_shared,184,2.0119989007519896,1.3933343193493382,0.8389243249466615,0.7107602242695511,0.8097826086956522,184,0.9021739130434783,0.7783980244749111,0.7392270956021175
2007-2019,nowcast M1,lbvar/-,184,2.4689365185217755,1.8890779198335654,-0.17167832191590787,0.29416228541784045,0.7554347826086957,184,0.7989130434782609,0.955177116574483,0.9071102231371589
2007-2019,nowcast M1,nyfed,184,2.344482324706462,1.62129639441414,0.35130279875310405,0.4038629028106701,0.6902173913043478,184,0.8967391304347826,0.9070285323146952,0.8613845956553486
2007-2019,nowcast M1,qbvar/-,184,2.490309486634737,1.8820505938686083,0.21485713131981982,0.24969257961111152,0.657608695652174,184,0.8152173913043478,0.9634458468158745,0.9149628502616748
2007-2019,nowcast M1,ar2,184,2.5847944592475507,1.736953534161157,0.39440132111283194,0.17057310680894858,0.7445652173913043,184,0.8478260869565217,1.0,0.9496775073405186
2007-2019,nowcast M1,mean,184,2.7217602178301785,1.7769678530312953,0.888157035409836,-0.468331992510567,0.782608695652174,184,0.8478260869565217,1.052989032877492,1.0
