job,ok,returncode,minutes,detail,log
bvar_bbvar_2020-07-31,True,0,452.31,,output/_logs/run_all/bvar_bbvar_2020-07-31.log
bvar_lbvar_2016-01-29,True,0,452.32,,output/_logs/run_all/bvar_lbvar_2016-01-29.log
bvar_bbvar_2007-02-02,True,0,452.86,,output/_logs/run_all/bvar_bbvar_2007-02-02.log
bvar_bbvar_2017-11-03,True,0,453.96,,output/_logs/run_all/bvar_bbvar_2017-11-03.log
bvar_bbvar_2012-02-03,True,0,455.06,,output/_logs/run_all/bvar_bbvar_2012-02-03.log
bvar_lbvar_2023-02-03,True,0,455.63,,output/_logs/run_all/bvar_lbvar_2023-02-03.log
bvar_lbvar_2022-07-29,True,0,455.7,,output/_logs/run_all/bvar_lbvar_2022-07-29.log
bvar_bbvar_2025-05-02,True,0,456.41,,output/_logs/run_all/bvar_bbvar_2025-05-02.log
bvar_bbvar_2023-04-28,True,0,456.97,,output/_logs/run_all/bvar_bbvar_2023-04-28.log
bvar_bbvar_2025-01-31,True,0,456.98,,output/_logs/run_all/bvar_bbvar_2025-01-31.log
bvar_bbvar_2019-05-03,True,0,457.25,,output/_logs/run_all/bvar_bbvar_2019-05-03.log
bvar_bbvar_2017-02-03,True,0,458.36,,output/_logs/run_all/bvar_bbvar_2017-02-03.log
bvar_bbvar_2014-01-31,True,0,459.9,,output/_logs/run_all/bvar_bbvar_2014-01-31.log
bvar_bbvar_2022-04-29,True,0,460.52,,output/_logs/run_all/bvar_bbvar_2022-04-29.log
bvar_lbvar_2018-05-04,True,0,460.53,,output/_logs/run_all/bvar_lbvar_2018-05-04.log
bvar_bbvar_2011-01-28,True,0,460.88,,output/_logs/run_all/bvar_bbvar_2011-01-28.log
